Countries,Category
North Korea,Black
Iran,Black
Myanmar,Black
Algeria,Grey
Angola,Grey
Bulgaria,Grey
Burkina Faso,Grey
Cameroon,Grey
Côte d’Ivoire,Grey
Croatia,Grey
Democratic Republic of Congo,Grey
Haiti,Grey
Kenya,Grey
Laos,Grey
Lebanon,Grey
Mali,Grey
Monaco,Grey
Mozambique,Grey
Namibia,Grey
Nepal,Grey
Nigeria,Grey
South Africa,Grey
South Sudan,Grey
Syria,Grey
Tanzania,Grey
Venezuela,Grey
Vietnam,Grey
Yemen,Grey
