Country,Score
Myanmar,8.17
Haiti,7.92
Democratic Republic of the Congo,7.73
Chad,7.6
Venezuela,7.59
Lao PDR,7.53
Central African Republic,7.49
Gabon,7.48
Republic of the Congo,7.28
Guinea-Bissau,7.28
China,7.27
Mozambique,7.15
Liberia,7.11
Algeria,6.92
Vietnam,6.9
Kenya,6.87
Nigeria,6.85
Niger,6.83
Mali,6.81
Madagascar,6.76
Cambodia,6.75
Angola,6.71
Turkmenistan,6.71
Eswatini,6.69
Comoros,6.68
Cameroon,6.67
Sierra Leone,6.49
Burkina Faso,6.48
Togo,6.48
Tajikistan,6.45
Benin,6.44
Guinea,6.44
Cote D'ivoire,6.42
Nicaragua,6.4
Solomon Islands,6.32
Mauritania,6.28
Kuwait,6.27
United Arab Emirates,6.18
Thailand,6.16
Suriname,6.09
Tanzania,6.08
Nepal,6.01
Lesotho,5.98
Zimbabwe,5.98
Kyrgyzstan,5.95
Rwanda,5.94
Panama,5.9
Saudi Arabia,5.88
Philippines,5.84
Lebanon,5.81
Uganda,5.71
South Africa,5.7
Belarus,5.67
Ethiopia,5.66
Honduras,5.66
Tonga,5.65
Saint Kitts and Nevis,5.64
Türkiye,5.63
Bangladesh,5.62
Gambia,5.56
Pakistan,5.56
Qatar,5.55
Senegal,5.53
Bhutan,5.51
El Salvador,5.51
Cuba,5.5
Malaysia,5.5
India,5.49
Cape Verde,5.45
Guatemala,5.45
Malawi,5.45
Bolivia,5.44
Mexico,5.44
Azerbaijan,5.4
Brazil,5.36
"Hong Kong, SAR, China",5.34
Zambia,5.34
Indonesia,5.33
Ghana,5.28
Sri Lanka,5.28
Uzbekistan,5.27
Ukraine,5.26
Bahamas,5.21
Malta,5.18
Bahrain,5.17
Egypt,5.08
Ecuador,5.06
Hungary,5.06
Vanuatu,5.05
Paraguay,5
Bulgaria,4.99
Romania,4.99
Mongolia,4.98
Dominican Republic,4.96
Morocco,4.94
Colombia,4.92
Namibia,4.89
Serbia,4.82
Cyprus,4.81
Jordan,4.81
United States,4.81
Italy,4.8
Jamaica,4.79
Japan,4.77
Peru,4.77
Tunisia,4.77
Seychelles,4.76
Grenada,4.72
Fiji,4.71
Singapore,4.7
Kazakhstan,4.65
Moldova,4.65
Georgia,4.64
Germany,4.63
Costa Rica,4.61
Mauritius,4.61
Barbados,4.58
Samoa,4.56
Croatia,4.53
Netherlands,4.52
Belgium,4.48
Canada,4.47
Saint Lucia,4.46
Switzerland,4.46
"Korea, South",4.42
Slovakia,4.39
Botswana,4.36
Albania,4.35
Armenia,4.35
Austria,4.35
Poland,4.34
Brunei Darussalam,4.3
Spain,4.29
North Macedonia,4.24
Ireland,4.23
Montenegro,4.23
Dominica,4.21
Trinidad and Tobago,4.19
Liechtenstein,4.16
United Kingdom,4.14
Uruguay,4.11
Antigua and Barbuda,4.1
Portugal,4.09
Chile,4.08
Latvia,4.08
Saint Vincent and The Grenadines,4.07
Taiwan (Chinese Taipei),4.05
Australia,4.04
Luxembourg,3.99
Israel,3.97
France,3.86
Czech Republic,3.85
Norway,3.76
New Zealand,3.68
Greece,3.66
Lithuania,3.54
Slovenia,3.54
Denmark,3.5
Sweden,3.45
Andorra,3.29
Estonia,3.16
Finland,3.07
Iceland,3
San Marino,2.96
